"INDIC_AGR","GEO","FARMTYPE","LEG_FORM","SO_EUR","AGRAREA","TIME","Value"
"Utilised agricultural area - hectare","Croatia","Total","Total","Total","Total","2016","1,562,980"
"Utilised agricultural area - hectare","Croatia","Total","Total","Total","Total","2013","1,571,200"
"Utilised agricultural area - hectare","Croatia","Total","Total","Total","Total","2010","1,346,340"
"Utilised agricultural area - hectare","Croatia","Total","Total","Total","Total","2007","978,670"
"Utilised agricultural area - hectare","Croatia","Total","Total","Total","Total","2005",":"
"Utilised agricultural area - hectare","Italy","Total","Total","Total","Total","2016","12,598,160"
"Utilised agricultural area - hectare","Italy","Total","Total","Total","Total","2013","12,098,890"
"Utilised agricultural area - hectare","Italy","Total","Total","Total","Total","2010","12,856,050"
"Utilised agricultural area - hectare","Italy","Total","Total","Total","Total","2007","12,744,200"
"Utilised agricultural area - hectare","Italy","Total","Total","Total","Total","2005","12,707,850"
"Utilised agricultural area - hectare","Cyprus","Total","Total","Total","Total","2016","111,930"
"Utilised agricultural area - hectare","Cyprus","Total","Total","Total","Total","2013","109,330"
"Utilised agricultural area - hectare","Cyprus","Total","Total","Total","Total","2010","118,400"
"Utilised agricultural area - hectare","Cyprus","Total","Total","Total","Total","2007","146,000"
"Utilised agricultural area - hectare","Cyprus","Total","Total","Total","Total","2005","151,500"
"Utilised agricultural area - hectare","Latvia","Total","Total","Total","Total","2016","1,930,880"
"Utilised agricultural area - hectare","Latvia","Total","Total","Total","Total","2013","1,877,720"
"Utilised agricultural area - hectare","Latvia","Total","Total","Total","Total","2010","1,796,290"
"Utilised agricultural area - hectare","Latvia","Total","Total","Total","Total","2007","1,773,840"
"Utilised agricultural area - hectare","Latvia","Total","Total","Total","Total","2005","1,701,680"
"Utilised agricultural area - hectare","Lithuania","Total","Total","Total","Total","2016","2,924,600"
"Utilised agricultural area - hectare","Lithuania","Total","Total","Total","Total","2013","2,861,250"
"Utilised agricultural area - hectare","Lithuania","Total","Total","Total","Total","2010","2,742,560"
"Utilised agricultural area - hectare","Lithuania","Total","Total","Total","Total","2007","2,648,950"
"Utilised agricultural area - hectare","Lithuania","Total","Total","Total","Total","2005","2,792,040"
"Utilised agricultural area - hectare","Luxembourg","Total","Total","Total","Total","2016","130,650"
"Utilised agricultural area - hectare","Luxembourg","Total","Total","Total","Total","2013","131,040"
"Utilised agricultural area - hectare","Luxembourg","Total","Total","Total","Total","2010","131,110"
"Utilised agricultural area - hectare","Luxembourg","Total","Total","Total","Total","2007","130,880"
"Utilised agricultural area - hectare","Luxembourg","Total","Total","Total","Total","2005","129,130"
"Utilised agricultural area - hectare","Hungary","Total","Total","Total","Total","2016","4,670,560"
"Utilised agricultural area - hectare","Hungary","Total","Total","Total","Total","2013","4,656,520"
"Utilised agricultural area - hectare","Hungary","Total","Total","Total","Total","2010","4,686,340"
"Utilised agricultural area - hectare","Hungary","Total","Total","Total","Total","2007","4,228,580"
"Utilised agricultural area - hectare","Hungary","Total","Total","Total","Total","2005","4,266,550"
"Utilised agricultural area - hectare","Malta","Total","Total","Total","Total","2016","11,120"
"Utilised agricultural area - hectare","Malta","Total","Total","Total","Total","2013","10,880"
"Utilised agricultural area - hectare","Malta","Total","Total","Total","Total","2010","11,450"
"Utilised agricultural area - hectare","Malta","Total","Total","Total","Total","2007","10,330"
"Utilised agricultural area - hectare","Malta","Total","Total","Total","Total","2005","10,250"
"Utilised agricultural area - hectare","Netherlands","Total","Total","Total","Total","2016","1,796,260"
"Utilised agricultural area - hectare","Netherlands","Total","Total","Total","Total","2013","1,847,570"
"Utilised agricultural area - hectare","Netherlands","Total","Total","Total","Total","2010","1,872,350"
"Utilised agricultural area - hectare","Netherlands","Total","Total","Total","Total","2007","1,914,330"
"Utilised agricultural area - hectare","Netherlands","Total","Total","Total","Total","2005","1,958,060"
"Utilised agricultural area - hectare","Austria","Total","Total","Total","Total","2016","2,669,750"
"Utilised agricultural area - hectare","Austria","Total","Total","Total","Total","2013","2,726,890"
"Utilised agricultural area - hectare","Austria","Total","Total","Total","Total","2010","2,878,170"
"Utilised agricultural area - hectare","Austria","Total","Total","Total","Total","2007","3,189,110"
"Utilised agricultural area - hectare","Austria","Total","Total","Total","Total","2005","3,266,240"
"Utilised agricultural area - hectare","Poland","Total","Total","Total","Total","2016","14,405,650"
"Utilised agricultural area - hectare","Poland","Total","Total","Total","Total","2013","14,409,870"
"Utilised agricultural area - hectare","Poland","Total","Total","Total","Total","2010","14,447,290"
"Utilised agricultural area - hectare","Poland","Total","Total","Total","Total","2007","15,477,190"
"Utilised agricultural area - hectare","Poland","Total","Total","Total","Total","2005","14,754,880"
"Utilised agricultural area - hectare","Portugal","Total","Total","Total","Total","2016","3,641,690"
"Utilised agricultural area - hectare","Portugal","Total","Total","Total","Total","2013","3,641,590"
"Utilised agricultural area - hectare","Portugal","Total","Total","Total","Total","2010","3,668,150"
"Utilised agricultural area - hectare","Portugal","Total","Total","Total","Total","2007","3,472,940"
"Utilised agricultural area - hectare","Portugal","Total","Total","Total","Total","2005","3,679,590"
"Utilised agricultural area - hectare","Romania","Total","Total","Total","Total","2016","12,502,540"
"Utilised agricultural area - hectare","Romania","Total","Total","Total","Total","2013","13,055,850"
"Utilised agricultural area - hectare","Romania","Total","Total","Total","Total","2010","13,306,130"
"Utilised agricultural area - hectare","Romania","Total","Total","Total","Total","2007","13,753,050"
"Utilised agricultural area - hectare","Romania","Total","Total","Total","Total","2005","13,906,700"
"Utilised agricultural area - hectare","Slovenia","Total","Total","Total","Total","2016","488,400"
"Utilised agricultural area - hectare","Slovenia","Total","Total","Total","Total","2013","485,760"
"Utilised agricultural area - hectare","Slovenia","Total","Total","Total","Total","2010","482,650"
"Utilised agricultural area - hectare","Slovenia","Total","Total","Total","Total","2007","488,770"
"Utilised agricultural area - hectare","Slovenia","Total","Total","Total","Total","2005","485,430"
"Utilised agricultural area - hectare","Slovakia","Total","Total","Total","Total","2016","1,889,820"
"Utilised agricultural area - hectare","Slovakia","Total","Total","Total","Total","2013","1,901,610"
"Utilised agricultural area - hectare","Slovakia","Total","Total","Total","Total","2010","1,895,500"
"Utilised agricultural area - hectare","Slovakia","Total","Total","Total","Total","2007","1,936,620"
"Utilised agricultural area - hectare","Slovakia","Total","Total","Total","Total","2005","1,879,490"
"Utilised agricultural area - hectare","Finland","Total","Total","Total","Total","2016","2,233,080"
"Utilised agricultural area - hectare","Finland","Total","Total","Total","Total","2013","2,282,400"
"Utilised agricultural area - hectare","Finland","Total","Total","Total","Total","2010","2,290,980"
"Utilised agricultural area - hectare","Finland","Total","Total","Total","Total","2007","2,330,670"
"Utilised agricultural area - hectare","Finland","Total","Total","Total","Total","2005","2,299,120"
"Utilised agricultural area - hectare","Sweden","Total","Total","Total","Total","2016","3,012,640"
"Utilised agricultural area - hectare","Sweden","Total","Total","Total","Total","2013","3,035,920"
"Utilised agricultural area - hectare","Sweden","Total","Total","Total","Total","2010","3,066,320"
"Utilised agricultural area - hectare","Sweden","Total","Total","Total","Total","2007","3,123,580"
"Utilised agricultural area - hectare","Sweden","Total","Total","Total","Total","2005","3,192,450"
"Utilised agricultural area - hectare","Iceland","Total","Total","Total","Total","2016",":"
"Utilised agricultural area - hectare","Iceland","Total","Total","Total","Total","2013",":"
"Utilised agricultural area - hectare","Iceland","Total","Total","Total","Total","2010","1,595,670"
"Utilised agricultural area - hectare","Iceland","Total","Total","Total","Total","2007",":"
"Utilised agricultural area - hectare","Iceland","Total","Total","Total","Total","2005",":"
"Utilised agricultural area - hectare","Norway","Total","Total","Total","Total","2016",":"
"Utilised agricultural area - hectare","Norway","Total","Total","Total","Total","2013","996,270"
"Utilised agricultural area - hectare","Norway","Total","Total","Total","Total","2010","1,005,940"
"Utilised agricultural area - hectare","Norway","Total","Total","Total","Total","2007","1,032,000"
"Utilised agricultural area - hectare","Norway","Total","Total","Total","Total","2005","1,035,400"
"Utilised agricultural area - hectare","Switzerland","Total","Total","Total","Total","2016",":"
"Utilised agricultural area - hectare","Switzerland","Total","Total","Total","Total","2013",":"
"Utilised agricultural area - hectare","Switzerland","Total","Total","Total","Total","2010","1,047,800"
"Utilised agricultural area - hectare","Switzerland","Total","Total","Total","Total","2007","1,056,700"
"Utilised agricultural area - hectare","Switzerland","Total","Total","Total","Total","2005","1,061,670"
"Utilised agricultural area - hectare","United Kingdom","Total","Total","Total","Total","2016","16,673,270"
"Utilised agricultural area - hectare","United Kingdom","Total","Total","Total","Total","2013","17,326,990"
"Utilised agricultural area - hectare","United Kingdom","Total","Total","Total","Total","2010","16,881,690"
"Utilised agricultural area - hectare","United Kingdom","Total","Total","Total","Total","2007","16,352,540"
"Utilised agricultural area - hectare","United Kingdom","Total","Total","Total","Total","2005","15,956,960"
"Utilised agricultural area - hectare","Montenegro","Total","Total","Total","Total","2016",":"
"Utilised agricultural area - hectare","Montenegro","Total","Total","Total","Total","2013",":"
"Utilised agricultural area - hectare","Montenegro","Total","Total","Total","Total","2010","221,300"
"Utilised agricultural area - hectare","Montenegro","Total","Total","Total","Total","2007",":"
"Utilised agricultural area - hectare","Montenegro","Total","Total","Total","Total","2005",":"
"Farm area excluding special agricultural production areas - hectare","Belgium","Total","Total","Total","Total","2016","1,419,490"
"Farm area excluding special agricultural production areas - hectare","Belgium","Total","Total","Total","Total","2013","1,350,200"
"Farm area excluding special agricultural production areas - hectare","Belgium","Total","Total","Total","Total","2010","1,384,880"
"Farm area excluding special agricultural production areas - hectare","Belgium","Total","Total","Total","Total","2007","1,405,250"
"Farm area excluding special agricultural production areas - hectare","Belgium","Total","Total","Total","Total","2005","1,415,590"
"Farm area excluding special agricultural production areas - hectare","Bulgaria","Total","Total","Total","Total","2016","4,947,740"
"Farm area excluding special agricultural production areas - hectare","Bulgaria","Total","Total","Total","Total","2013","5,608,980"
"Farm area excluding special agricultural production areas - hectare","Bulgaria","Total","Total","Total","Total","2010","5,260,520"
"Farm area excluding special agricultural production areas - hectare","Bulgaria","Total","Total","Total","Total","2007","4,087,520"
"Farm area excluding special agricultural production areas - hectare","Bulgaria","Total","Total","Total","Total","2005","4,014,740"
"Farm area excluding special agricultural production areas - hectare","Czechia","Total","Total","Total","Total","2016","4,846,770"
"Farm area excluding special agricultural production areas - hectare","Czechia","Total","Total","Total","Total","2013","5,076,430"
"Farm area excluding special agricultural production areas - hectare","Czechia","Total","Total","Total","Total","2010","5,065,270"
"Farm area excluding special agricultural production areas - hectare","Czechia","Total","Total","Total","Total","2007","5,032,220"
"Farm area excluding special agricultural production areas - hectare","Czechia","Total","Total","Total","Total","2005","5,126,190"
"Farm area excluding special agricultural production areas - hectare","Denmark","Total","Total","Total","Total","2016","2,955,350"
"Farm area excluding special agricultural production areas - hectare","Denmark","Total","Total","Total","Total","2013","2,920,610"
"Farm area excluding special agricultural production areas - hectare","Denmark","Total","Total","Total","Total","2010","3,001,380"
"Farm area excluding special agricultural production areas - hectare","Denmark","Total","Total","Total","Total","2007","2,977,550"
"Farm area excluding special agricultural production areas - hectare","Denmark","Total","Total","Total","Total","2005","2,956,580"
"Farm area excluding special agricultural production areas - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2016","18,417,550"
"Farm area excluding special agricultural production areas - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2013","18,305,150"
"Farm area excluding special agricultural production areas - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2010","18,387,080"
"Farm area excluding special agricultural production areas - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2007","18,685,530"
"Farm area excluding special agricultural production areas - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2005","18,843,820"
"Farm area excluding special agricultural production areas - hectare","Estonia","Total","Total","Total","Total","2016","1,204,560"
"Farm area excluding special agricultural production areas - hectare","Estonia","Total","Total","Total","Total","2013","1,229,420"
"Farm area excluding special agricultural production areas - hectare","Estonia","Total","Total","Total","Total","2010","1,241,850"
"Farm area excluding special agricultural production areas - hectare","Estonia","Total","Total","Total","Total","2007","1,219,390"
"Farm area excluding special agricultural production areas - hectare","Estonia","Total","Total","Total","Total","2005","1,134,540"
"Farm area excluding special agricultural production areas - hectare","Ireland","Total","Total","Total","Total","2016","5,137,950"
"Farm area excluding special agricultural production areas - hectare","Ireland","Total","Total","Total","Total","2013","5,277,990"
"Farm area excluding special agricultural production areas - hectare","Ireland","Total","Total","Total","Total","2010","5,317,860"
"Farm area excluding special agricultural production areas - hectare","Ireland","Total","Total","Total","Total","2007","4,414,850"
"Farm area excluding special agricultural production areas - hectare","Ireland","Total","Total","Total","Total","2005","4,503,860"
"Farm area excluding special agricultural production areas - hectare","Greece","Total","Total","Total","Total","2016","4,735,290"
"Farm area excluding special agricultural production areas - hectare","Greece","Total","Total","Total","Total","2013","5,062,500"
"Farm area excluding special agricultural production areas - hectare","Greece","Total","Total","Total","Total","2010","5,461,290"
"Farm area excluding special agricultural production areas - hectare","Greece","Total","Total","Total","Total","2007","4,402,780"
"Farm area excluding special agricultural production areas - hectare","Greece","Total","Total","Total","Total","2005","4,260,380"
