Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1980","1980","1000 ha","1118","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1981","1981","1000 ha","1116","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1982","1982","1000 ha","1114","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1983","1983","1000 ha","1110","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1984","1984","1000 ha","1113","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1985","1985","1000 ha","1112","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1986","1986","1000 ha","1111","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1987","1987","1000 ha","1111","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1988","1988","1000 ha","1117","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1989","1989","1000 ha","1110","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1990","1990","1000 ha","1121","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1991","1991","1000 ha","1127","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1992","1992","1000 ha","1127","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1993","1993","1000 ha","1126","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1994","1994","1000 ha","1126","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1995","1995","1000 ha","1127","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1996","1996","1000 ha","1131","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1997","1997","1000 ha","1135","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1998","1998","1000 ha","1139","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1999","1999","1000 ha","1145","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2000","2000","1000 ha","1144","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2001","2001","1000 ha","1139","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2002","2002","1000 ha","1140","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2003","2003","1000 ha","1121","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2004","2004","1000 ha","1122","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2005","2005","1000 ha","1077","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2006","2006","1000 ha","1120","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2007","2007","1000 ha","1119","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2008","2008","1000 ha","1181","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2009","2009","1000 ha","1201.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1201.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1201","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1201.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1187.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1174.29","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1174.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1181.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1169.181","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1174.081","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1174","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1961","1961","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1962","1962","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1963","1963","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1964","1964","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1965","1965","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1966","1966","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1967","1967","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1968","1968","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1969","1969","1000 ha","26","F","FAO estimate"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1970","1970","1000 ha","26","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1971","1971","1000 ha","25","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1972","1972","1000 ha","25","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1973","1973","1000 ha","24","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1974","1974","1000 ha","24","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1975","1975","1000 ha","24","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1976","1976","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1977","1977","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1978","1978","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1979","1979","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1980","1980","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1981","1981","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1982","1982","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1983","1983","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1984","1984","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1985","1985","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1986","1986","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1987","1987","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1988","1988","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1989","1989","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1990","1990","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1991","1991","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1992","1992","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1993","1993","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1994","1994","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1995","1995","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1996","1996","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1997","1997","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1998","1998","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","1999","1999","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2000","2000","1000 ha","23","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2001","2001","1000 ha","22.75","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2002","2002","1000 ha","22.85","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2003","2003","1000 ha","22.86","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2004","2004","1000 ha","22.81","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2005","2005","1000 ha","21.8","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2006","2006","1000 ha","21.78","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2007","2007","1000 ha","20.77","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2008","2008","1000 ha","20.76","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2009","2009","1000 ha","20.77","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2010","2010","1000 ha","19.77","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2011","2011","1000 ha","19.77","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2012","2012","1000 ha","18.76","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2013","2013","1000 ha","18.81","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2014","2014","1000 ha","18.8","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2015","2015","1000 ha","18.81","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2016","2016","1000 ha","18.82","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2017","2017","1000 ha","18.82","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2018","2018","1000 ha","18.83","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2019","2019","1000 ha","18.8","Fm","Manual Estimation"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1961","1961","1000 ha","3555.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1962","1962","1000 ha","3531","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1963","1963","1000 ha","3489.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1964","1964","1000 ha","3476.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1965","1965","1000 ha","3464.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1966","1966","1000 ha","3406","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1967","1967","1000 ha","3373.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1968","1968","1000 ha","3359.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1969","1969","1000 ha","3351.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1970","1970","1000 ha","3335.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1971","1971","1000 ha","3320.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1972","1972","1000 ha","3307.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1973","1973","1000 ha","3222.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1974","1974","1000 ha","3207.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1975","1975","1000 ha","3189.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1976","1976","1000 ha","3183.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1977","1977","1000 ha","3177.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1978","1978","1000 ha","3180.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1979","1979","1000 ha","3142.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1980","1980","1000 ha","3141","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1981","1981","1000 ha","3155.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1982","1982","1000 ha","3142.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1983","1983","1000 ha","3025.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1984","1984","1000 ha","3033.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1985","1985","1000 ha","3037.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1986","1986","1000 ha","3026.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1987","1987","1000 ha","3028","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1988","1988","1000 ha","3048.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1989","1989","1000 ha","3050.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1990","1990","1000 ha","3023.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1991","1991","1000 ha","3036.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1992","1992","1000 ha","3013","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1993","1993","1000 ha","2999","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1994","1994","1000 ha","2994.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1995","1995","1000 ha","2981.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1996","1996","1000 ha","2973.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1997","1997","1000 ha","2964.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1998","1998","1000 ha","2959.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","1999","1999","1000 ha","2955.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2000","2000","1000 ha","2940.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2001","2001","1000 ha","2916.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2002","2002","1000 ha","2902.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2003","2003","1000 ha","2885.23","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2004","2004","1000 ha","2867.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2005","2005","1000 ha","2856.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2006","2006","1000 ha","2843.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2007","2007","1000 ha","2830.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2008","2008","1000 ha","2809.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2009","2009","1000 ha","2795","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2010","2010","1000 ha","2779.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2011","2011","1000 ha","2757.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2012","2012","1000 ha","2735.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2013","2013","1000 ha","2716.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2014","2014","1000 ha","2714.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2015","2015","1000 ha","2718.45","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2016","2016","1000 ha","2670.17","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2017","2017","1000 ha","2654.62","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2652.83","Fc","Calculated data"
"RL","Land Use","11","Austria","5110","Area","6610","Agricultural land","2019","2019","1000 ha","2651.21","Fc","Calculated data"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1992","1992","1000 ha","9391","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1993","1993","1000 ha","9354","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1994","1994","1000 ha","9346","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1995","1995","1000 ha","9339","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1996","1996","1000 ha","9333","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1997","1997","1000 ha","9306","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1998","1998","1000 ha","9307","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","1999","1999","1000 ha","9281","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2000","2000","1000 ha","9252","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2001","2001","1000 ha","9128","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2002","2002","1000 ha","9025","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2003","2003","1000 ha","8986","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2004","2004","1000 ha","8957","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2005","2005","1000 ha","8949","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2006","2006","1000 ha","8958","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2007","2007","1000 ha","8916","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2008","2008","1000 ha","8917","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2009","2009","1000 ha","8927","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2010","2010","1000 ha","8898","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2011","2011","1000 ha","8875","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2012","2012","1000 ha","8796","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2013","2013","1000 ha","8711.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2014","2014","1000 ha","8623.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2015","2015","1000 ha","8574.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2016","2016","1000 ha","8532.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2017","2017","1000 ha","8494","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8453","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6610","Agricultural land","2019","2019","1000 ha","8387","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2000","2000","1000 ha","1389.6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2001","2001","1000 ha","1386.8","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2002","2002","1000 ha","1389.1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2003","2003","1000 ha","1392.2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","255","Belgium","5110","Area","6610","Agricultural land","2004","2004","1000 ha","1391.3","W","Data reported on country official publications or web sites (Official) or trade country files"
